IQ-TREE multicore version 1.6.12 for Linux 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    solander (SSE4.2, 5 GB RAM)
Command: iqtree -s cytB_all_MAFFT.aln -o CF -m MFP -pre CF -bb 1000
Seed:    425235 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Oct 10 08:40:51 2023
Kernel:  SSE2 - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file cytB_all_MAFFT.aln ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 10 sequences with 1146 columns, 286 distinct patterns
378 parsimony-informative, 93 singleton sites, 675 constant sites
    Gap/Ambiguity  Composition  p-value
   1  CF    0.00%    passed     27.57%
   2  CA    0.52%    passed     85.20%
   3  CP    0.52%    passed      7.78%
   4  CT    0.52%    passed     17.79%
   5  RA    0.26%    passed     85.14%
   6  RB    0.26%    passed     75.35%
   7  RK    0.26%    passed     98.51%
   8  SB    0.52%    passed     75.74%
   9  SC    0.52%    passed     54.06%
  10  SS    0.52%    passed     80.79%
****  TOTAL    0.39%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
NOTE: ModelFinder requires 2 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1146) ...
 No. Model         -LnL         df  AIC          AICc         BIC
183  TIM2e         5291.443     20  10622.885    10623.632    10723.766
184  TIM2e+I       5106.757     21  10255.514    10256.336    10361.438
185  TIM2e+G4      5104.852     21  10251.704    10252.526    10357.629
186  TIM2e+I+G4    5100.853     22  10245.707    10246.608    10356.675
187  TIM2e+R2      5100.673     22  10245.346    10246.247    10356.314
188  TIM2e+R3      5100.674     24  10249.348    10250.418    10370.405
196  TIM2+F        5247.379     23  10540.759    10541.743    10656.772
197  TIM2+F+I      5036.227     24  10120.453    10121.524    10241.510
198  TIM2+F+G4     5027.089     24  10102.177    10103.248    10223.234
199  TIM2+F+I+G4   5025.390     25  10100.780    10101.941    10226.881
200  TIM2+F+R2     5024.669     25  10099.337    10100.498    10225.438
201  TIM2+F+R3     5024.650     27  10103.300    10104.652    10239.489
209  TIM3e         5366.582     20  10773.164    10773.910    10874.044
210  TIM3e+I       5173.763     21  10389.525    10390.347    10495.450
211  TIM3e+G4      5165.973     21  10373.946    10374.768    10479.871
212  TIM3e+I+G4    5163.949     22  10371.897    10372.798    10482.866
213  TIM3e+R2      5162.757     22  10369.515    10370.416    10480.484
214  TIM3e+R3      5162.760     24  10373.520    10374.590    10494.577
222  TIM3+F        5277.690     23  10601.380    10602.364    10717.392
223  TIM3+F+I      5049.314     24  10146.629    10147.699    10267.686
224  TIM3+F+G4     5035.411     24  10118.822    10119.892    10239.879
225  TIM3+F+I+G4   5035.274     25  10120.548    10121.709    10246.649
226  TIM3+F+R2     5032.204     25  10114.409    10115.569    10240.509
227  TIM3+F+R3     5032.195     27  10118.391    10119.743    10254.580
235  TVMe          5330.426     21  10702.852    10703.674    10808.776
236  TVMe+I        5173.226     22  10390.451    10391.352    10501.420
237  TVMe+G4       5169.853     22  10383.705    10384.606    10494.674
238  TVMe+I+G4     5168.066     23  10382.132    10383.116    10498.145
239  TVMe+R2       5169.536     23  10385.072    10386.056    10501.085
240  TVMe+R3       5169.454     25  10388.909    10390.070    10515.010
248  TVM+F         5250.388     24  10548.777    10549.847    10669.833
249  TVM+F+I       5045.247     25  10140.494    10141.655    10266.595
250  TVM+F+G4      5036.809     25  10123.619    10124.780    10249.720
251  TVM+F+I+G4    5036.428     26  10124.855    10126.110    10256.000
252  TVM+F+R2      5036.308     26  10124.616    10125.871    10255.761
253  TVM+F+R3      5036.065     28  10128.130    10129.584    10269.363
261  SYM           5278.992     22  10601.985    10602.886    10712.953
262  SYM+I         5102.053     23  10250.106    10251.090    10366.119
263  SYM+G4        5099.560     23  10245.121    10246.105    10361.134
264  SYM+I+G4      5095.630     24  10239.259    10240.330    10360.316
265  SYM+R2        5096.020     24  10240.041    10241.111    10361.098
266  SYM+R3        5095.992     26  10243.984    10245.239    10375.129
274  GTR+F         5236.426     25  10522.852    10524.013    10648.953
275  GTR+F+I       5032.666     26  10117.331    10118.586    10248.476
276  GTR+F+G4      5023.132     26  10098.265    10099.520    10229.410
277  GTR+F+I+G4    5021.339     27  10096.677    10098.030    10232.866
278  GTR+F+R2      5021.113     27  10096.225    10097.578    10232.414
279  GTR+F+R3      5021.057     29  10100.114    10101.673    10246.391
Akaike Information Criterion:           GTR+F+R2
Corrected Akaike Information Criterion: GTR+F+R2
Bayesian Information Criterion:         TIM2+F+G4
Best-fit model: TIM2+F+G4 chosen according to BIC

All model information printed to CF.model.gz
CPU time for ModelFinder: 3.988 seconds (0h:0m:3s)
Wall-clock time for ModelFinder: 4.070 seconds (0h:0m:4s)
Generating 1000 samples for ultrafast bootstrap (seed: 425235)...

NOTE: 1 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -5397.603
2. Current log-likelihood: -5057.569
3. Current log-likelihood: -5033.803
4. Current log-likelihood: -5028.893
5. Current log-likelihood: -5027.686
6. Current log-likelihood: -5027.293
7. Current log-likelihood: -5027.170
Optimal log-likelihood: -5027.095
Rate parameters:  A-C: 3.74583  A-G: 10.54635  A-T: 3.74583  C-G: 1.00000  C-T: 26.72567  G-T: 1.00000
Base frequencies:  A: 0.303  C: 0.294  G: 0.130  T: 0.273
Gamma shape alpha: 0.249
Parameters optimization took 7 rounds (0.093 sec)
Computing ML distances based on estimated model parameters... 0.001 sec
Computing BIONJ tree...
0.019 seconds
Log-likelihood of BIONJ tree: -5027.090
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 99 parsimony trees... 0.051 second
Computing log-likelihood of 79 initial trees ... 0.190 seconds
Current best score: -5027.090

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -5026.410
Iteration 10 / LogL: -5027.602 / Time: 0h:0m:0s
Iteration 20 / LogL: -5027.263 / Time: 0h:0m:0s
Finish initializing candidate tree set (3)
Current best tree score: -5026.410 / CPU time: 0.622
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -5027.213 / Time: 0h:0m:1s (0h:0m:2s left)
Iteration 40 / LogL: -5026.417 / Time: 0h:0m:1s (0h:0m:2s left)
Iteration 50 / LogL: -5026.957 / Time: 0h:0m:1s (0h:0m:1s left)
Log-likelihood cutoff on original alignment: -5050.458
UPDATE BEST LOG-LIKELIHOOD: -5026.409
Iteration 60 / LogL: -5026.572 / Time: 0h:0m:1s (0h:0m:1s left)
Iteration 70 / LogL: -5027.192 / Time: 0h:0m:2s (0h:0m:0s left)
Iteration 80 / LogL: -5027.693 / Time: 0h:0m:2s (0h:0m:0s left)
Iteration 90 / LogL: -5026.588 / Time: 0h:0m:2s (0h:0m:0s left)
Iteration 100 / LogL: -5028.205 / Time: 0h:0m:2s (0h:0m:0s left)
Log-likelihood cutoff on original alignment: -5050.458
NOTE: Bootstrap correlation coefficient of split occurrence frequencies: 1.000
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:2s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -5026.409
Optimal log-likelihood: -5026.397
Rate parameters:  A-C: 3.64296  A-G: 10.56141  A-T: 3.64296  C-G: 1.00000  C-T: 26.73824  G-T: 1.00000
Base frequencies:  A: 0.303  C: 0.294  G: 0.130  T: 0.273
Gamma shape alpha: 0.246
Parameters optimization took 1 rounds (0.005 sec)
BEST SCORE FOUND : -5026.397
Creating bootstrap support values...
Split supports printed to NEXUS file CF.splits.nex
Total tree length: 1.847

Total number of iterations: 102
CPU time used for tree search: 2.623 sec (0h:0m:2s)
Wall-clock time used for tree search: 2.729 sec (0h:0m:2s)
Total CPU time used: 2.785 sec (0h:0m:2s)
Total wall-clock time used: 3.012 sec (0h:0m:3s)

Computing bootstrap consensus tree...
Reading input file CF.splits.nex...
10 taxa and 33 splits.
Consensus tree written to CF.contree
Reading input trees file CF.contree
Log-likelihood of consensus tree: -5026.397

Analysis results written to: 
  IQ-TREE report:                CF.iqtree
  Maximum-likelihood tree:       CF.treefile
  Likelihood distances:          CF.mldist

Ultrafast bootstrap approximation results written to:
  Split support values:          CF.splits.nex
  Consensus tree:                CF.contree
  Screen log file:               CF.log

Date and Time: Tue Oct 10 08:40:58 2023
